query_index,method,rank,PaperID,similarity
0,raw,1,2525399787,0.6643037796020508
0,raw,2,2562588878,0.6399405598640442
0,raw,3,2473167446,0.6161798238754272
0,raw,4,2533388555,0.6040011048316956
0,raw,5,2336207438,0.6000324487686157
0,raw,6,2533304691,0.5976333618164062
0,raw,7,2550030819,0.5944719314575195
0,raw,8,2552678868,0.5915555953979492
0,raw,9,2751972910,0.5907777547836304
0,raw,10,2302219224,0.5862792134284973
0,raw,11,2556753023,0.584058403968811
0,raw,12,2469602774,0.5813930034637451
0,raw,13,2759472946,0.5802460312843323
0,raw,14,2551476953,0.5772974491119385
0,raw,15,2565247589,0.576225757598877
0,raw,16,2190781736,0.5748632550239563
0,raw,17,2542440154,0.5679553151130676
0,raw,18,2902093491,0.56787109375
0,raw,19,2405830411,0.5631744265556335
0,raw,20,2548532043,0.5618686676025391
0,raw,21,2548691676,0.5576942563056946
0,raw,22,2364419577,0.5571929216384888
0,raw,23,2556296660,0.5569378733634949
0,raw,24,2761666362,0.554392397403717
0,raw,25,2523834880,0.5517134666442871
0,raw,26,2478417379,0.5507059693336487
0,raw,27,2492967162,0.5488595962524414
0,raw,28,2318004685,0.5479902029037476
0,raw,29,2342754550,0.5477297902107239
0,raw,30,2205975271,0.5476571917533875
0,raw,31,2530380347,0.5460373163223267
0,raw,32,2786354508,0.5455272197723389
0,raw,33,2474873893,0.5454779267311096
0,raw,34,2514847968,0.5452538728713989
0,raw,35,2466057905,0.5450291633605957
0,raw,36,2513903541,0.5449967384338379
0,raw,37,2343633027,0.5448685884475708
0,raw,38,2547901281,0.5438098311424255
0,raw,39,2528215076,0.5429047346115112
0,raw,40,2585002645,0.5424378514289856
0,raw,41,2396026310,0.5421546101570129
0,raw,42,1872316065,0.5419814586639404
0,raw,43,2521832887,0.5416703820228577
0,raw,44,2584557204,0.5413129329681396
0,raw,45,2573731343,0.5413129329681396
0,raw,46,2512935519,0.5407986044883728
0,raw,47,2529752838,0.5407809019088745
